"(u'$125',)","(u'$44',)","(u'Gym Pantos Kickboxing Trainer NYC',)","(u'Up to 65% off Boxing Lessons',)","(u'https://www.groupon.com/deals/gym-pantos-kickboxing-trainer-nyc',)","([],)"
"(u'$105',)","(u'$30',)","(u'iLoveKickboxing.com',)","(u'Up to 74% off Kickboxing Classes with Gloves',)","(u'https://www.groupon.com/deals/ilovekickboxing-com-11-new-york',)","([(u'iLoveKickboxing.com', u'+17187269400'), (u'iLoveKickboxing- Park Slope', u'+13474648818'), (u'iLoveKickboxing.com', u'+17186060196'), (u'Boerum Hill', u'+17184039026'), (u'Bayside', u'+17187676627'), (u'iLoveKickboxing.com', u'+17182972200'), (u'ILKB - Harlem', u'+13473446220'), (u'iLoveKickboxing.com', u'+19175252125'), (u'iLoveKickboxing.com', u'+17188061738'), (u'Midtown', u'+12122398619'), (u'Forest Hills', u'+17185444698'), (u'Chelsea', u'+16463959138')],)"
"(u'$20',)","(u'$10',)","(u'NYC Bike Rental',)","(u'Up to 50% off Bike Rental',)","(u'https://www.groupon.com/deals/nyc-bike-rental',)","([(u'Central Park', u'+16465485407')],)"
"(u'$119.97',)","(u'$29.99',)","(u'CKO Kickboxing Gramercy',)","(u'Up to 79% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/cko-kickboxing-gramercy',)","([(u'Midtown Manhattan', u'+12124198955')],)"
"(u'$95',)","(u'$19',)","(u'CKO Hoboken Madison',)","(u'Up to 80% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/cko-hoboken-madison',)","([(u'Hoboken', u'+12019637774')],)"
"(u'$60',)","(u'$29.99',)","(u'Night Nation Run',)","(u'Up to 50% off Nighttime 5K Music Festival',)","(u'https://www.groupon.com/deals/night-nation-run-72-new-york',)","([(u'Aviator Sports & Event Center', u'')],)"
"(u'$90',)","(u'$15',)","(u'Kickboxing Yorkville',)","(u'Up to 87% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/kickboxing-yorkville',)","([(u'Upper East Side', u'+16467804180')],)"
"(u'$125',)","(u'$30',)","(u'Lifefit Kickboxing',)","(u'Up to 76% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/lifefit-kickboxing',)","([(u'Merrick', u''), (u'Wantagh', u''), (u'East Meadow', u''), (u'Bensonhurst 3', u''), (u'Bellmore', u''), (u'Oceanside', u''), (u'Massapequa 2', u''), (u'Sheepshead Bay', u''), (u'North Babylon', u''), (u'College Point', u''), (u'Bensonhurst 1', u''), (u'Carroll Gardens', u''), (u'Dyker Heights', u'')],)"
"(u'$55',)","(u'$29',)","(u'Physique Swimming',)","(u'Up to 52% off Swimming Lessons for Adutls',)","(u'https://www.groupon.com/deals/physique-swimming-new-york',)","([(u'Leman Manhattan Prep', u'+12127250939'), (u'Dunlevy Milbank', u'+12127250939'), (u'Hunter College, North Building', u'+12127250939'), (u""St. Bart's Church"", u'+12127250939')],)"
"(u'$160',)","(u'$45',)","(u'Epic Hybrid Training Center',)","(u'Up to 74% off Chiselbox Class Pack',)","(u'https://www.groupon.com/deals/epic-hybrid-training-center-3',)","([(u'Midtown Manhattan', u'+16464502405')],)"
"(u'$90',)","(u'$15',)","(u'Kickboxing Park Slope',)","(u'Up to 86% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/kickboxing-park-slope',)","([(u'Kickboxing Arrochar', u'+17184087535')],)"
